Amount Awarded,Core Funding Area,Initiative,Project Duration,Region,summary,TWCF Number,url
"$234,000",Big Questions,Diverse Intelligences,23 July 2018 - 22 July 2020,North America,"One of the great challenges of modern neural network computing is the mysterious internal organization of these systems. We know exactly how they are designed and what information they use to develop their decisions. But we don’t generally understand the underlying logic that can be responsible for very important decisions.Max Tegmark’s project dives into the works of artificial neural networks to develop a system for rendering their inner functions more comprehensible.The project addresses the challenge to “investigate making artificial intelligence’s internal workings interpretable so that seemingly moral decisions made by machines can be fully understood by humans.” (Diverse Intelligences Morality in the Machine Age Challenge Statement, Part 6). Such full understanding may show that the seemingly moral systems have hidden biases or unnoticed flaws that sometimes produce unacceptable behavior.The core technical work of this project is to develop an algorithm transforming inscrutable neural networks into maximally simple traditional computer code that is intelligible to humans, or that traditional formal software verification tools can analyze. Applications include demystifying tools computing probation recommendations and “risk scores.”This project is vital because the deep learning systems driving dominating today’s AI progress are largely unintelligible black boxes. Outputs will include peer-reviewed publications and software shared online with the public. As an ever-growing fraction of AI systems involve unintelligible neural networks, the impact of success will be major.",0322,https://www.templetonworldcharity.org/projects-database/intelligible-intelligence-ethically-transparent-and-interpretable-neural-networks
"$205,215",Big Questions,Diverse Intelligences,1 July 2018 - 30 June 2020,Europe,"How did teaching evolve?Intelligence is like a blackberry plant: a hidden network of roots whose sprouts can pop up in unexpected places when the conditions are right. In evolution, similar forms of intelligence can arise in many types of environments. There is not just one intelligence. Rather, it is manifested in a range of behaviors that vary depending on the animal and the situation. Like those pesky blackberry sprouts, teaching behaviors appeared in just a few animal species widely separated by evolution.This project hypothesizes that teaching evolves when survival skills are difficult to learn. A good candidate for animal teaching is in nut-dropping by wild New Caledonian crows. Nuts are a major part of their diet, but cracking nuts requires four separate elements of motor skill and knowledge. Nut-dropping is difficult, even for juveniles up to 11 months old. Using a combination of proven field experiments and the novel field methods Mathias Osvath piloted in his first field season, the project will document all possible teaching situations using high-quality, close-range video and audio recordings at all known nut-dropping spots in a group of 12 crows living in a forest of New Caledonia.Outputs
This project will contribute key data to further our understanding of the factors that influence the evolution of teaching. Through scientific publications and public events, the results will add a cross-species perspective to the study of human cognitive evolution. Our case study will stimulate the identification of animal teaching in other species, and in turn will widen the scope of research into non-human minds. We will establish the first long-term study site of wild New Caledonian crows, which will aid conservation by raising awareness of animal cognition. It will be the first step towards a planned large-scale project on New Caledonian crow vocal communication, sociality, and intelligence.",0271,https://www.templetonworldcharity.org/projects-database/teaching-wild-new-caledonian-crows
"$1,500,000",Other Charitable Purposes,,1 July 2018 - 30 June 2021,North America,"The practice of science is sometimes thought of as an iterative process of reducing uncertainty about a specific theory or hypothesis. For scientific progress to occur, researchers must practice intellectual humility by confronting the limitations of their current understandings of reality. However, many of the incentives in present-day science are in the opposite direction, privileging intellectual hubris and flashy headlines over intellectual humility and a rigorous consideration of the evidence required to support new claims. Well-publicized failures to reproduce findings previously thought to be well-established in disciplines from social psychology to cancer biology have led to a reconsideration of how science is done.The thrust of the project is the development of an infrastructure that will foster a transformation in research practices towards openness, integrity, and reproducibility of research. The Center for Open Science (COS) will use the funds to support four types of work:The project will achieve an increased willingness among researchers to update their individual practices by providing the means, opportunity, and motivation to pursue openness. Accelerating the adoption of these open research practices will lead to a self-sustaining public good, and a return to the intended self-correcting nature of science.",0287,https://www.templetonworldcharity.org/projects-database/openness-integrity-and-reproducibility-aligning-scientific-practices-scientific
"$234,800",Individual Freedom and Free Markets,,11 June 2018 - 10 June 2021,North America,"On average, small and medium enterprises produce over 70% of formal jobs in developing countries. They are responsible for poverty alleviation and long-term economic growth through improved productivity, innovation, and social mobility. Without high-quality research on the full effects of pro-enterprise policies, decision makers can be left without clear guidance on which programs and policies to support. The Small and Medium Enterprise Program (SME) at Innovations for Poverty Action is a coordinated research effort that brings together a global network of policymakers and leading researchers to identify, test, and scale innovative solutions to the constraints that affect SME growth and entrepreneurship.In this project, SME plans to build on their years of experience in promoting successful entrepreneurship by recognizing the contributions of innovators and supporting effective solutions in their path to scale. Through a careful selection process, SME will administer the Path to Scale award to an innovative, market-based solution to poverty alleviation that can be replicated in a new context. They will identify potential candidates, shortlist the most innovative and effective ideas, and assess the scalability of each of them. They will analyze the mechanisms that have made the projects successful, and identify which components are crucial for success. Proving that the projects are effective and scalable is key to preparing them for implementation by government entities, private business, or other stakeholders.Beyond selecting the prize winner, the expected results of the program includeImage credit: Meredith Startz",0280,https://www.templetonworldcharity.org/projects-database/path-scale-prize-high-potential-innovations-sme-development
"$204,000",Big Questions,Diverse Intelligences,4 June 2018 - 2 September 2020,Oceania,"What different forms of intelligence are found in different animals? Answering this question with precision requires a way to quantify and compare degrees of intelligence across species.This project endeavors to develop such a method. By using a common battery of tests on rats, mice, and bees, the project will produce new insights into the intelligences of both mammals and insects.In the study, animals receive two learning tasks in which stimuli are either rewarded and punished. In the first, immediately before the trial they see a cue trial that gives them the information needed to find the reward. In the second, trials occur in a predictable sequence, allowing the animals to use the sequence information to find the reward in a specific trial. Species can solve these tasks only if they learn to apply the available contextual information to a trial.Such tasks are easy for humans, but can a rat or mouse solve them? Can an insect? Quantitative comparisons of these species' performance will reveal their abilities to adaptively solve problems using gathered information—in other words, their intelligence.Methodology and Outputs
The project will compare how many trials it takes for them to learn the tasks and how well they learn. It will also analyze changes in speed and accuracy to explore whether animals adaptively vary their attention while learning. This will enable objective comparisons of intelligence among species with diverse brains and evolutionary histories. After this two-year project, Dr. Barron intends to expand his study to include other species: birds, fish, and octopuses. The end result will map intelligence across the a wide range of animal life to understand the diversity of intelligence and how it has evolved.",0266,https://www.templetonworldcharity.org/projects-database/analysis-distribution-degrees-intelligence-across-animal-groups
"$205,000",Big Questions,Diverse Intelligences,1 June 2018 - 31 December 2020,Europe,"What can our closest animal relatives teach us about empathy and cooperation?Social intelligence requires profound emotion processing skills, empathy, and the capability to use social information for socially adaptive behavior. To improve social intelligence, it is essential to understand the underlying concepts, how they link together, and their evolutionary foundations. Expressions of emotion are vital for the communication of feelings and intentions. The accurate recognition of these signals fosters adequate behaviors and strengthens the bond between individuals, subsequently increasing survival chances.Humans and their closest relatives, chimpanzees and bonobos, are well-adapted to recognize others’ expressions, possibly through facial mimicry, a phenomenon closely linked to empathy. But even though humans naturally empathize with others’ emotions, this does not always result in corresponding behavior. This is painfully illustrated by “the bystander effect,” in which individuals in a group avert their attention when confronted with an injured person or other victim.Methodology and Outputs This project takes on that challenge by comparing humans’ social intelligence with that of chimpanzees and bonobos. Only one experimental study on emotions has been published hitherto, and few studies on bonobo cognition exist in general. To fill this knowledge gap, this project compares social intelligence among humans, chimpanzees, and bonobos with three objectives:The scientific and societal implications of this project will be communicated to the scientific community both through publications in scientific journals and presentations at conferences. I plan to reach general audiences through media distribution and a symposium at a zoo. ",0267,https://www.templetonworldcharity.org/projects-database/evolutionary-insights-social-intelligence-how-can-we-learn-bonobo
"$231,831",Big Questions,Diverse Intelligences,1 May 2018 - 1 December 2020,Europe,"Where does human intelligence emerge from, and what does it share with other forms of intelligence?Giving primacy to skill over the ability to reason, this project will define intelligence in terms of learning. It argues that intelligent states, processes, and behaviors meet two conditions: flexibility and appropriateness. Accordingly, our aim is to understand intelligence as comprising a suite of automatic, immediate, fluid, and fluent processes that neurotypical, language-using, adult Homo sapiens share with non-human animals, small children, and even artificial and social systems.In this way, intelligence is neither reflective nor transparent. Rather, it emerges from multiple processes, often automatic and opaque. This conception of intelligence has ramifications not only for who and what qualifies as intelligent but also for moral education and therapeutic intervention. We will show empirically that the flexibility of our automatic affective system may be calibrated or attuned in ways that reflect a sensitivity to the aims and objectives of an agent. Grounding our hypothesis in studies of motor skill learning, where we clearly see automatic motor routines develop as a result of deliberate, intentional practice, we expect that affective processes can likewise be shaped and structured in accordance with personal-level, conceptual, reflective states. This serves as the foundation of our account of moral skill.We will produce a book-length monograph of empirically informed philosophy of mind, focusing on moral skill. We will also publish two journal articles, one philosophical on the nature of intelligence and the other empirical on the difference between implicit and explicit interventions on the affective responses of alcohol dependent patients. The project challenges and corrects both intellectualism about skill and the dual systems theory dominant in moral psychology. The intellectual impact of our project is thus foundational to both philosophy and psychology. Our work also has direct practical implications for addiction treatment and moral education.",0262,https://www.templetonworldcharity.org/projects-database/intelligence-down-and-all-around
"$203,950",Big Questions,,16 April 2018 - 15 April 2020,Europe,"Intelligence is the ability to process external or internal information with the goal of becoming more adaptive in particular contexts. Learning and creativity are key aspects of this capacity. This project is part of a new wave of interest in the relationship between evolution and learning, but it goes beyond earlier work by specifying the shared mechanisms.We begin from the observation of deep similarities and formal relationships between the two, and examine the idea that there is one unified theory behind the two manifestations. Our project has two major streams. In “Learning in Evolution” (i.e., how learning processes can be effective in evolution), we will elaborate on this link as applied to (i) unsupervised learning in ecosystems, and (ii) reinforcement learning in embryonic development. We also aim to prove the hypothesis that (iii) the deep learning mechanism can help us re-formulate my book The Major Transitions from lower to higher evolutionary units (as passage from lower to higher level features of hierarchical representations). In “Evolution in Learning” (i.e., how evolutionary processes can be effective in learning), we test our hypothesis that Darwinian neurodynamics can provide novel understanding of (i) basic linguistic operations, and (ii) the scope of facilitated variation in generating new ideas.This project aims to synthesize the two approaches by linking and mapping their respective logical and mathematical foundations. We will use logical–conceptual analysis and computational modeling to tackle these questions. If we are correct, scholars will have an altered view about both evolution and learning, and the field may move closer to hypothesizing one theory encompassing different subcases. We will produce up to six high-profile research papers (roughly divided into the two areas) and one overarching review.",0268,https://www.templetonworldcharity.org/projects-database/learning-evolution-evolution-learning
"$233,000",Character Virtue Development,,1 April 2018 - 1 July 2019,Europe,"Wikipedia is the encyclopedia of our times, providing the information required in passing conversation, the essential knowledge to embark on a new subject in history or science, and the pieces of trivia needed to settle debates about pop culture. In many ways, however, Wikipedia is what the traditional encyclopedia never could have been: there are nearly six million English-language articles on Wikipedia, and nearly 150,000 active contributors. While the open-source nature of Wikipedia is vital in maintaining the vast and up-to-date database of knowledge, it is not without cost. The work of sustaining the valuable encyclopedic nature of Wikipedia is often in tension with defending it from vandalism.Wikipedia is deliberately simple in form and function, permitting content to be curated based on the needs of specific projects and users. While this community-driven approach to content creation and aggregation represents a democratization of knowledge unthinkable in the era of the printed encyclopedia, it also presents a significant complication to the existence of Wikipedia. Because a wiki invites all users—not just experts or moderators—to edit and create content, it is incredibly difficult to weed out false information, poor grammar, and malicious “edit warring”. Increasingly, personal conflicts among Wikipedians threaten to undermine the platform’s knowledge-creation enterprise.To promote a more civil Wikipedia community, this project will capitalize upon the collective power of the millions of contributors across the globe who have come together to freely share knowledge. The project team will conduct trials using the CivilServant software platform to evaluate network-based and Artificial Intelligence-driven interventions designed to expand gratitude, hospitality, and forgiveness among Wikipedians.The project will engage four Wikipedia communities from diverse cultural and linguistic backgrounds. By evaluating practical initiatives from contributors and editors to facilitate appreciation, the project team will contribute to theory on the individual and social effects of giving and receiving gratitude. Aside from these benefits to the individual, these interventions may extend the communities’ ability to attract diverse knowledge and sustain volunteer participation over time.",0282,https://www.templetonworldcharity.org/projects-database/software-participatory-randomized-trials-wikimedia-communities-testing-effects
"$233,342",Big Questions,Diverse Intelligences,1 April 2018 - 31 March 2019,North America,"What is the constellation of intelligences in the world? Can its exploration enhance human flourishing? How can we recognize intelligences different from our own in the living world? How can we shape human intelligences to enliven and enhance our being? What can we learn by exploring intelligences beyond biology? And what questions in the area of Diverse Intelligences have we not yet thought to ask?The Diverse Intelligences Summer Institute (DISI) sets out to answer these questions through a radical new program. With generous funding from the Templeton World Charity Foundation, DISI supports talented graduate students, post-docs, and early-career researchers as they investigate the world's constellation of intelligences. Hosted at the University of St Andrews (Scotland), the two-week program connects participants with an international and interdisciplinary roster of established faculty.DISI will build an interdisciplinary community of promising scholars dedicated to asking Big Questions about the origin, nature, and future of intelligences. By breaking down traditional transdisciplinary boundaries, the program seeks to extend the frontiers of intelligence.",0281,https://www.templetonworldcharity.org/projects-database/diverse-intelligences-summer-institute-pilot
"$1,468,726",Individual Freedom and Free Markets,,15 January 2018 - 14 January 2021,Europe,"Although global economic growth has accelerated significantly since 1947, with open economies responsible for lifting billions out of poverty, this growth has recently slowed. One key factor in the slowing of growth has been market distortions which have had a disproportionate impact upon the world’s poorest people. Led by Dr. Stephen Brien, and advised by some of the world’s foremost trade experts, the Legatum Institute’s Global Index of Economic Openness (GIEO) aims to provide the international community with a unique tool to identify and tackle economic inequality.The GIEO will be applied to a select number of country case studies, examining how they can increase openness by reducing distortions through a series of public conferences. The index will gauge the relative economic impact of different categories of Anti-Competitive Market Distortions (ACMDs) across the three principles of property rights, international competition, and domestic competition. Through application of the GIEO, the project will be used to influence lawmakers and key international economists to craft policies that will lead to a reduction of distortions in the targeted countries.OutputsOutcomes",0227,https://www.templetonworldcharity.org/projects-database/global-index-economic-openness-pathway-prosperity
"$329,999",Big Questions,,29 December 2017 - 28 December 2020,Europe,"How can a centuries-old theory on entropy enlighten contemporary understanding of quantum thermodynamics?In 1867, James Clerk Maxwell imagined a demon that could violate the second law of thermodynamics. In this thought experiment, Maxwell’s demon could take two chambers—operating at thermal equilibrium—and sort them into fast- and slow-moving particles by quickly opening the door to allow the proper particle to pass through a barrier at the proper times. The overall entropy of the chambers would thus decrease.This experiment has since been extended by physicists to incorporate many experimental systems.But what happens when the thermodynamics at play are applied to a quantum system?The project team proposes an experiment pushing the limits of conventional thermodynamics to include quantum effects. They will develop hybrid nanodevices—operating at cryogenic temperatures—that combine electrical and mechanical degrees of freedom to give access to thermodynamic experiments at the nanoscale.",0240,https://www.templetonworldcharity.org/projects-database/quantum-information-thermodynamics-nanoscale-devices
"$234,000",Big Questions,Diverse Intelligences,28 December 2017 - 31 December 2019,Europe,"This project is an exciting line of inquiry that has never been pursued empirically. It aims to identify the basal cognitive condition in mammals. In doing so, it seeks to understand the evolutionary processes that led to mammalian intelligence as it manifests in great apes (including humans) and a few other species.Intelligence here is defined as complex and flexible cognition. It is “complex” in that it comprises several interacting cognitive mechanisms leading to elaborate behaviors, and “flexible” in that it goes beyond innate predispositions and narrow adaptations to apply to an array of circumstances. This project will investigate several so-called fundamental cognitive mechanisms (which underlie complex cognition) in “ancestral” mammals, the monotremes, and in the somewhat more diverged marsupials. It will then compare the results with select species of the placental mammals (the latest diverged lineage), which share similar socio-ecologies with the tested monotremes and marsupials. The project will also tease apart the roles of ecology (selective pressures) and pre-existing cognitive substrates in the cognition of the different lineages. This in turn will give insights into a vital question: Is the intelligence seen in a few mammalian species a result of a continuous evolutionary process governed mainly by selective pressures? Or is it some “lucky evolutionary accidents” in the placental lineage that allowed more degrees of freedom for cognitive evolution?The methodology is based on the fact that all tested species are contemporary (i.e., they are, today, equally evolved) but differ in when their lineage arose and diverged. Importantly, the applicant has secured a sister project investigating the “ancestral” birds through identical methods, allowing for further, valuable comparisons between these two distinct classes. This project, together with its comparison to the bird project, is first of its kind, breaking new ground in our understanding of the evolution and origins of intelligence.",0269,https://www.templetonworldcharity.org/projects-database/cradle-mammalian-intelligence
"$899,868",Big Questions,Diverse Intelligences,28 December 2017 - 27 December 2020,North America,"When Alan Turing proposed his machine-based variation on the imitation game in 1950, he believed that computers would ultimately be able to behave indistinguishably from intelligent humans. Now, thanks to explosive improvements in artificial intelligence (AI) made possible by fast computers and deep learning algorithms, computers are close to achieving what many believe to be functional equivalence to humans. Indeed, according to the dominant functionalist paradigm, when computers become functionally equivalent to us, their minds will be equal to ours, too, and they will be conscious.Until now, consciousness and intelligence have been synonymous. This project aims to explore the differences between the two terms. If intelligence entails using information to inform behavior, to be conscious means that there is “something it is like” to be human—to experience a rich world of sights and sounds, feelings, and thoughts. Consciousness is fundamentally important: if we lose consciousness, as happens in dreamless sleep or during general anesthesia, then from our perspective, both ourselves and the world around us might as well not exist.What makes us human is not what we do, but what we are, and this project will put the distinction between consciousness and intelligence on a rigorous scientific footing by employing Integrated Information Theory (IIT). IIT is a quantitative theory that spells out what consciousness is, what it takes to have it, and how it can be measured—specifically, by assessing a system’s integrated information (Φ). According to IIT, certain parts of our brains are built in a way that supports high levels of Φ, which is required for being conscious. Machines employing AI algorithms are built in a radically different way that does not support the intrinsic integration of information, hence they cannot be conscious.Using the framework of IIT, the project will:",0216,https://www.templetonworldcharity.org/projects-database/beyond-turing-test-principled-approach-assessing-consciousness-and-intelligence
"$204,741",Big Questions,Diverse Intelligences,28 December 2017 - 31 August 2019,Europe,"Intelligence can be defined as the level of mental or behavioral flexibility resulting in novel solutions to physical and social problems. This project will examine chimpanzees’ intelligence in solving a task requiring communication to ensure coordination and successful collaboration. In doing so, it aims to investigate the roots of human collaborative problem-solving.Despite evidence of chimpanzees’ collaborative abilities, we know little about the socio-cognitive (i.e., theory of mind) skills that support this behavior. Moreover, several hypotheses have argued that chimpanzees lack flexible cognitive skills to engage in collaborative endeavors. Similarly, despite extensive research on chimpanzees’ communicative behavior, we know almost nothing about their ability to use communication as a means to support collaborative endeavors. This research project will investigate chimpanzees’ capacity to provide collaboration partners with the information they lack to perform their role in a mutually beneficial task, addressing both:(1) Their reasoning skills and ability to think about their partners’ informational needs, and(2) the flexibility of their communicative skills.We will conduct the study at Sweetwaters Chimpanzee Sanctuary, where previous behavioral studies have been successful. Because of the interdisciplinary nature of the project, the results will engage academics interested both in human social and cognitive evolution, as well as in cooperation, coordination, and communication. The project will lead to at least two peer-reviewed publications, conference talks, publicly-shared datasets and educational materials (e.g., study videos). We will also organize a symposium at Warwick University to discuss the findings with other experts in the field. The results of the project will be shared with the general public in the form of public talks, media, social media and a project-specific website.",0264,https://www.templetonworldcharity.org/projects-database/evolutionary-roots-human-collaborative-problem-solving-insights-chimpanzees
"$199,990",Big Questions,Diverse Intelligences,28 December 2017 - 30 June 2020,North America,"In present-day cognitive and computer sciences, the mainstream notion of intelligence is framed around a list of information processing functions such as the ability to store information to guide adaptive behaviors. This definition contrasts with broader views of intelligence in several spiritual traditions. The contrast is especially striking in spiritual practices aimed at achieving a state of “pure consciousness,” in which awareness is vividly present but devoid of any perceptual or thought contents. Hence, no task is being performed and no information is being processed.Cultivating states of pure consciousness allows practitioners to recognize the essential, stable nature of mind that lies beyond fleeting perceptions and thoughts—a recognition that deepens spirituality and increase well-being. Intriguingly, a prominent new theory of consciousness—integrated information theory (IIT)—makes the counterintuitive neurophysiological prediction that consciousness should still be present when all the neurons comprising the substrate of consciousness are inactive. Moreover, it posits that such a state would resemble the “pure consciousness” of spiritual traditions.In this project, I propose to use a high-density electroencephalogram (HD-EEG) in long-term meditators from Buddhist and Christian backgrounds to test the prediction of IIT that phenomenal states of pure consciousness correlate with a high readiness of the cortex, signaled in the HD-EEG by low delta power, combined with a low level of neuronal firing, signaled in the HD-EEG by low gamma activity compared to other awake states. If this project is successful, it will demand a radical rethinking of the dominant functionalist, information processing view of intelligence and, in turn, validate century-old spiritual accounts. This will provide neurophysiological support for the existence of diverse forms of intelligence and pure being that can be dissociated from information processing.",0265,https://www.templetonworldcharity.org/projects-database/diverse-intelligences-information-processing-and-pure-consciousness
"$204,999",Big Questions,Diverse Intelligences,28 December 2017 - 30 November 2019,Europe,"A key challenge for the 21st century is enabling constructive synergies between human and artificial intelligence. This challenge arises at the juncture of two major societal trends: the integration of algorithms in most aspects of everyday life, and accelerating technological developments in machine learning (ML).To facilitate positive synergies between humans and AI, we must appreciate the affordances of each. Notably, creative intelligence is often positioned as the most categorically “human” faculty. Creativity is the ability to generate ideas or artifacts that are both novel and valuable. Machine creative outputs have historically been neither, but machine intelligence is likely to transform creative endeavors. A nascent example is the use of deep learning to style the short film “Come Swim.”Our project investigates the hypothesis that Creative Artificial Intelligence (CAI) can help unlock creative human potential, enabling forms of creativity unachievable by humans alone. Bringing together a truly cross-disciplinary research team (machine learning, sociology, education) allows us to:1) Generate rich qualitative evidence identifying the current capabilities of CAI and documenting human experiences of such partnerships, and2) Provide a robust quantitative framework predicting the future scope and richness of algorithmic creativity.We will do so through methodological innovation, integrating novel machine learning techniques with elicited qualitative data and analysis in combination with secondary analysis of existing structured datasets. Ultimately, this allows us to address an overarching objective of aiding human flourishing through better understanding human-led creative endeavors assisted by algorithms. This project also delivers scientific progress in ML and aids social science theory building related to AI, cultural production, creativity, and complementarity.",0270,https://www.templetonworldcharity.org/projects-database/creative-algorithmic-intelligence-capabilities-complementarity
"$206,254",Big Questions,Diverse Intelligences,28 December 2017 - 28 December 2019,North America,"What is the evolutionary origin of intelligence?In this project, we will search for cognitive flexibility by investigating which species need flexibility necessary for survival. This technique is the most powerful way to uncover and explain the existence of diverse intelligences. The cognitive approach sees intelligence expressed in spontaneous solutions to novel problems that often require inferential reasoning or a type of mental trial-and-error. This approach also suggests that different domains of cognition exist across species and individuals.Evolution provides a powerful model against which the cognitive approach can generate testable predictions about the domain(s) in which a species will show flexibility. If cognition functions to promote survival and reproduction, then the problems a species must solve to find food and mates will predict which types of cognitive flexibility they demonstrate. The best method we have of identifying the evolutionary origin of cognition and discovering new forms of intelligence is conducting large-scale phylogenetic comparisons. Our group pioneered this approach by comparing the inhibitory abilities of over 36 species of mammals and birds; we were able to test how brain size and ecological function relate to cognition using a rigorous phylogenetic method. We also demonstrated the power of large-scale collaborations, which have the potential to accomplish far more than any individual scientist.While our initial study provides a proof of concept, it represents only a first step. We still need to develop the ability to simultaneously compare a wide range of species with cognitive tasks measuring different domains of cognition such as theory of mind, memory, communication, and empathy. To do this, we will design, build, and beta-test a website that will provide the infrastructure for all future large-scale comparative studies. This new tool will be open access and will last well beyond the life of the grant; it will be the main instrument used in mapping diverse forms of intelligence.",0263,https://www.templetonworldcharity.org/projects-database/creating-online-tool-large-scale-comparative-cognition-collaborations
"$2,718,532",Individual Freedom and Free Markets,,1 December 2017 - 31 January 2020,North America,"The Human Dignity Project argues that there is a “dignity deficit” in the United States and other parts of the West. This deficit is characterized by lack of opportunity for millions of people—those frustrated by a lack of prosperity and skeptical of institutions, who feel their dreams are out of reach—to work, build strong families, and find fulfillment. How can we bridge the dignity divide? The project proposes new avenues of research into the possible sources of these barriers between the American people and their dignity.Through new research, outreach, and community initiatives, the Human Dignity Project team will analyze government policies on social services, education, and prison rehabilitation. How do government regulations and overbearing social safety nets discourage work and family formation? How can we reimagine our education system to provide opportunities through workforce development, vocational training, and apprenticeships? How can we turn rehabilitation into mobility for more than 2.2 million incarcerated Americans?Outputs of the project will include:",0245,https://www.templetonworldcharity.org/projects-database/human-dignity-project
"$309,312",Big Questions,,1 December 2017 - 30 November 2020,North America,"Biological systems, whether as simple a bacterial cell or as complex as a vertebrate brain, are constantly receiving information from their environments and processing it in order to make decisions. For example, in recent years, the importance of flourishing gut microbiota to the overall health has been universally acknowledged. Current studies on the brain-gut-microbiota axis have revealed several molecular mechanisms by which these components can communicate, but have largely neglected the informational aspects of this communication. In this project, Dr. Celia Herrera-Rincon will probe the nature of the information passed between simple bacteria and more complex neural cells as a means of exploring fundamental questions of information embodiment.Dr. Herrera-Rincon will test two hypotheses: To do so, she will design and construct the first integrated electrical-optical neural-bacteria interface, a versatile, multi-site stimulation and recording platform specifically suited to the extraction of information in real-time across biological entities. With this interface, Dr. Herrera-Rincon will conduct three sets of experiments with distinct aims.Aim 1: Conduct experiments to monitor information transfer and provide stimuli into the bacterial-neural system.Aim 2: Generate a quantitative model of cross-kingdom communication by computationally analyzing information metrics.Aim 3: Manipulate active communication between the neural and bacterial components to assemble a wholistic picture of information dynamics.",0241,https://www.templetonworldcharity.org/projects-database/microbes-minds-using-neural-bacteria-interface-discover-universal-code
"$232,711",Big Questions,,1 November 2017 - 31 October 2020,North America,"Many Christian-school teachers and homeschooling parents employ methods inspired by the work of Charlotte Mason, an early twentieth-century British educator. This project seeks to further encourage the integrative thinking advocated by Charlotte Mason, particularly across science, philosophy and theology.Charlotte Mason championed a whole-person approach to education that incorporated hands-on learning, outdoor experiences, Bible study, and explicit instruction in character virtues. Mason also embraced the natural sciences as she saw the natural world as a second form of God’s revelation. This project will develop new curricula and teacher-training materials that situate the study of the natural sciences within the larger framework of the search for answers to big philosophical and theological questions.Outputs",0214,https://www.templetonworldcharity.org/projects-database/contextualising-science-instruction-within-philosophy-and-faith
"$403,969",Big Questions,Big Questions in Classrooms,16 October 2017 - 15 October 2020,Europe,"How can we enhance insights into Big Questions—especially at the intersection of science, philosophy, and theology—among secondary school teachers and students? Andrew Pinsent (Ian Ramsey Centre) and Julie Arliss (Academy Conferences) have joined teams to answer this question. Their three-year project will provide a suite of activities to promote open-minded, insightful inquiry into the Big Questions of life and the universe. Target audiences for this project are secondary school students (ages 13–18), their teachers, and heads of schools. The project will produce and deliver the following resources and events:Capitalizing on Academy Conferences’ reputation and existing database, the IRC will make these events widely accessible to schools, teachers, and students. The grant will also subsidize a small number of teachers and schools for whom the payment of fees for the event are a challenge.Outputs
Because this is an engagement project, its outputs are the events and resources themselves, as well as a report on the effectiveness of these activities on four desired outcomes:A collection of feedback from users will accompany the sequential launch of the five resources to refine the content and improve the dissemination strategies of subsequent resources. ",0217,https://www.templetonworldcharity.org/projects-database/accelerating-insight-oxford-templeton-project-schools
"$433,231",Character Virtue Development,,1 October 2017 - 30 September 2020,Europe,"How can we create the good leaders and wise thinkers our world needs? The Oxford Character Project (OCP) asserts that strong leadership results from cultivating virtues in postgraduate students. Doing so encourages them to promote these positive values as they move into their careers.In this project, the OCP looks to expand its reach and increase public recognition of the importance of character development for postgraduates, specifically Wisdom, Honesty, Vocation, Service, Humility, and Gratitude. To accomplish these goals, the investigators will increase the number of their year-long formation groups from the current three to four groups per year. Over the course of the three-year grant, these formation groups will provide intensive character virtue development programming for up to 168 postgraduate students. Because the formation groups are resource-intensive, this project also introduces a new and more resource-effective model of engagement with students, in the form of larger “Learning Communities.”The project team will use personal contacts, group webinars, and content and resources from the project website to support alumni as they continue to cultivate character virtues, leadership, and intellectual capacities.OutputsSuccess Metrics
Through their mixed-method questionnaires, the project leaders expect to measure a small but significant increase in the presences of the focal virtues across the intervention period. The goal is to uncover at least 10 case studies of alumni making career choices influenced by character virtues, and to see demonstrable examples of leadership as a result of the project's ongoing support via online resources.",0179,https://www.templetonworldcharity.org/projects-database/oxford-character-project
"$171,664",Big Questions,Diverse Intelligences,1 September 2017 - 30 September 2019,Europe,"How can autism illuminate our understanding of social intelligence?
Intelligence is often boiled down to a simple test score that represents core learning skills such as pattern detection and verbal fluency. Other forms of intelligence, however, are just as essential for human behavior. One such form is social intelligence: the repertoire of skills needed to engage effectively with others in a way that is appropriate to the context. These skills are often referred to in psychology by the umbrella term “social cognition.” This encompasses abilities such as emotion recognition, effective interpersonal communication, and theory of mind. The second aspect of social intelligence is appreciation of the social context. Examples of social contexts include the cultural context (e.g., Japan vs. the UK), the relationship context (e.g., friend vs. stranger), and the environmental context (e.g., school versus home).
This project presents a bold re-conceptualization of intelligence within a framework of neurodiversity, challenging the notion that there is only one legitimate form of human intelligence. Specifically, we will explore social intelligence in autism, drawing together diverse findings to build a hypothesis that autistic social skills may be enhanced in an autism-specific cultural context: i.e., when interacting with other people on the autism spectrum. We will rigorously test this hypothesis using experimental, quantitative descriptive, and qualitative methods. In particular, we will adapt a cultural learning paradigm to explore transmission of information between autistic pairs compared with mixed and control pairs. The project will contribute key scientific evidence to a radical socio-political shift in the conceptualization of autism (and other states of neurodiversity) as difference rather than disability. Outputs will include recommendations to policymakers and public communications, as well as high-impact journal papers. We expect this innovative line of inquiry to inspire further academic investigation of neurodiverse intelligences.",0200,https://www.templetonworldcharity.org/projects-database/neurodiverse-intelligence-examination-culturally-specific-social-intelligence
